Date,Transaction,Item,Time,Class
31-10-2016,82,Bread,7,First
31-10-2016,82,Bread,7,First
03-11-2016,348,Bread,7,First
03-11-2016,348,Bread,7,First
04-11-2016,440,Bread,7,First
04-11-2016,441,Bread,7,First
04-11-2016,450,Bread,7,First
05-11-2016,527,Bread,7,First
05-11-2016,528,Bread,7,First
05-11-2016,529,Bread,7,First
07-11-2016,741,Bread,7,First
09-11-2016,890,Bread,7,First
11-11-2016,1012,Bread,9,First
11-11-2016,1013,Bread,9,First
16-11-2016,1411,Bread,9,First
16-11-2016,1411,Bread,9,First
17-11-2016,1478,Bread,9,First
19-11-2016,1629,Bread,9,First
21-11-2016,1802,Bread,9,First
24-11-2016,1935,Bread,9,First
26-11-2016,2071,Bread,9,First
26-11-2016,2071,Bread,9,First
29-11-2016,2267,Bread,9,First
01-12-2016,2368,Bread,9,First
03-12-2016,2487,Bread,9,First
03-12-2016,2487,Bread,7,First
07-12-2016,2744,Bread,7,First
08-12-2016,2790,Bread,7,First
11-12-2016,2974,Bread,7,First
12-12-2016,3024,Bread,7,First
12-12-2016,3024,Bread,7,First
13-12-2016,3069,Bread,7,First
14-12-2016,3111,Bread,7,First
15-12-2016,3164,Bread,7,First
15-12-2016,3165,Bread,7,First
15-12-2016,3165,Bread,7,First
16-12-2016,3229,Bread,7,First
17-12-2016,3311,Bread,7,First
17-12-2016,3315,Bread,10,Second
17-12-2016,3315,Bread,10,Second
20-12-2016,3512,Bread,10,Second
21-12-2016,3573,Bread,7,First
22-12-2016,3638,Bread,7,First
23-12-2016,3697,Bread,7,First
24-12-2016,3770,Bread,7,First
01-01-2017,4090,Bread,7,First
07-01-2017,4272,Bread,7,First
10-01-2017,4448,Bread,7,First
23-01-2017,5180,Bread,7,First
24-01-2017,5227,Bread,8,First
24-01-2017,5228,Bread,8,First
24-01-2017,5229,Bread,8,First
25-01-2017,5289,Bread,8,First
25-01-2017,5290,Bread,8,First
26-01-2017,5336,Bread,8,First
27-01-2017,5389,Bread,8,First
01-02-2017,5718,Bread,8,First
01-02-2017,5718,Bread,8,First
01-02-2017,5718,Bread,8,First
01-02-2017,5719,Bread,8,First
03-02-2017,5826,Bread,8,First
07-02-2017,6150,Bread,12,Third
09-02-2017,6246,Bread,12,Third
09-02-2017,6246,Bread,12,Third
11-02-2017,6362,Bread,12,Third
11-02-2017,6364,Bread,12,Third
18-02-2017,6736,Bread,12,Third
22-02-2017,6986,Bread,12,Third
25-02-2017,7139,Bread,12,Third
28-02-2017,7314,Bread,12,Third
28-02-2017,7315,Bread,12,Third
28-02-2017,7316,Bread,8,First
04-03-2017,7514,Bread,8,First
04-03-2017,7516,Bread,8,First
04-03-2017,7517,Bread,8,First
06-03-2017,7671,Bread,8,First
07-03-2017,7720,Bread,8,First
